type,codec,qp,category,mean_num_points
category,,,backpack,32299.8
category,,,ball,29289.858536585365
category,,,book,32984.71219512195
category,,,chair,8420.807317073171
category,,,handbag,15827.09756097561
category,,,laptop,38735.93571428571
category,,,plant,17504.074666666667
category,,,teddybear,7363.892682926829
category,,,vase,11410.285365853659
qp,avc,27,,25234.782857142858
qp,avc,32,,22855.317142857144
qp,avc,37,,20012.505714285715
qp,avc,42,,16038.154285714285
qp,avc,47,,15355.68
qp,jpeg,10,,16450.081690140843
qp,jpeg,20,,20148.478873239437
qp,jpeg,30,,22597.27042253521
qp,jpeg,50,,24491.966197183097
qp,jpeg,70,,26173.84225352113
